The	AT the AT-TL the
ailing	VBG ail
77	CD 77
statistical	JJ statistical
net	NN net
punted	VBD punt
1957	CD 1957
scholastically	RB scholastically
ineligible	JJ ineligible
Place	NN place NN-TL place VB place
timing	VBG time NN time
Once	CS once RB once
there's	EX+BEZ there be
I've	PPSS+HV i 've
boys	NNS boy
seem	VB seem
Practice	NN practice
helps	VBZ help
golf	NN golf
swing	VB swing
kicks	VBZ kick
practice	NN practice
kinda	QL kinda
Footnotes	NNS-HL footnote
Longhorns	NNS-TL longhorns
scored	VBN score VBD score
yardage	NN yardage
447	CD 447
completions	NNS completion
56	CD 56
attempts	NNS attempt
469	CD 469
37	CD 37
Tailback	NN tailback
Saxton	NP saxton
surpassed	VBN surpass
rushing	VBG rush
brilliant	JJ brilliant
sophomore	NN sophomore
netted	VBD net
271	CD 271
55	CD 55
273	CD 273
second-half	NN second - half
kickoff	NN kickoff
gained	VBD gain
uncorked	VBD uncork
56-yard	JJ 56 - yard
touchdown	NN touchdown
Wingback	NN wingback
insists	VBZ insist
he'll	PPS+MD he 'll
conference's	NN$ conference 's
prevailed	VBD prevail
SMU	NN smu
coaching	VBG coach
week's	NN$ week 's
Rice	NP rice
Mustangs	NPS mustang
happy	JJ happy
Coach	NN-TL coach NN-HL coach
Meek	NP meek
9-7	CD 9 - 7
Academy	NN-TL academy
kids	NNS kid VBZ kid
stayed	VBD stay VBN stay
we've	PPSS+HV we 've
Richey	NP richey
Assistant	NN assistant
Cudmore	NP cudmore
particular	JJ particular
gratification	NN gratification
performances	NNS performance
Happy	NP happy JJ-HL happy
Nelson	NP nelson
Billy	NP billy
Gannon	NP gannon
magnificent	JJ magnificent
interference	NN interference
stops	NNS stop
fumble	NN fumble
fullback	NN fullback
Nick	NP nick
Arshinkoff	NP arshinkoff
loose	JJ loose RB loose
contributed	VBD contribute VBN contribute
Falcons'	NNS$-TL falcons '
aerial	JJ aerial
thrusts	NNS thrust
fourth-down	NN fourth - down
screen	NN screen
Mustang	NP mustang
incomplete	JJ incomplete
Gannon's	NP$ gannon 's
spotted	VBD spot
Isaacson	NP isaacson
crucified	VBD crucify
nailed	VBD nail
yard	NN yard
Force's	NN$-TL force 's
game's	NN$ game 's
McNaughton	NP mcnaughton
intercepted	VBD intercept
44	CD 44
lay	VBD lie JJ lie VB lie
waited	VBD wait
Except	IN except
Mike	NP mike
Kelsey	NP kelsey
doubtful	JJ doubtful
He'll	PPS+MD he 'll
blind	JJ blind
split	VBN split
definitely	RB definitely
ligament	NN ligament
injuring	VBG injure
opener	NN opener
Maryland	NP maryland NP-TL maryland
He's	PPS+BEZ he be PPS+HVZ he be
lot	NN lot
film	NN film
reserves	NNS reserve
scrimmaged	VBD scrimmage
45	CD 45
scrimmage	NN scrimmage
taper	VB taper
Owls	NNS-TL owl
Huddle	NN-HL huddle
hearsay	NN-HL hearsay
Held	VBN hold VBD-HL hold
Tech's	NP$ tech 's
sweat-suits	NNS sweat - suit
drill	NN drill
Lubbock	NP lubbock
tackle	NN tackle
Stafford	NP stafford
undergoing	VBG undergo
treatment	NN treatment
Raiders'	NNS$-TL raiders '
38-7	CD 38 - 7
M	NN m
Because	RB because
Baylor	NP baylor
rain	NN rain
mud	NN mud
End	NN end NN-TL end
Gene	NP gene
Raesz	NP raesz
Owl's	NN$-TL owl 's
LSU	NN lsu
Nichols	NP nichols
idleness	NN idleness
ankle	NN ankle
Aggies	NPS aggie
Myers	NP myers
Hargett	NP hargett
shaken	VBN shake
Tech	NP tech
Trinity	NP trinity
Halfback	NN halfback
Bud	NP bud
Priddy	NP priddy
slowly-mending	JJ slowly - mend
sprained	VBN sprain
TCU's	NN tcu 's
19-12	CD 19 - 12
Denver	NP denver NP-TL denver
Broncos	NNS-TL broncos
Buffalo	NP buffalo
Hank	NP hank
Stram's	NP$ stram 's
Bills	NPS bill
pre-season	JJ pre - season
reckonings	NNS reckoning
Buster	NP buster
Ramsey	NP ramsey
collectors	NNS collector
quarterbacks	NNS quarterback
productive	JJ productive
ex-National	JJ-TL ex - national
Leaguers	NNS-TL leaguer
Rabb	NP rabb
Louisiana	NP-TL louisiana NP louisiana
22-12	CD 22 - 12
upset	NN upset
Oilers	NPS oiler
defending	VBG defend
luck	NN luck
Exclaimed	VBD exclaim
Stram	NP stram
mutter	VB mutter
splendid	JJ splendid
whip	VB whip
dangerous	JJ dangerous
Broncs	NNS-TL bronc
fullbacking	NN fullback
star	NN star
Spikes	NP spike
interior	JJ interior
linebackers	NNS linebacker
exceptionally	QL exceptionally
movies	NNS movie
Quarterback	NN-TL quarterback
Davidson	NP davidson
throwing	VBG throw
passes	NNS pass VBZ pass
bang	UH bang
touchdowns	NNS touchdown
strikes	NNS strike
tactic	NN tactic
controlling	VBG control
giving	VBG give
Abner	NP abner
Haynes	NP haynes
flashy	JJ flashy
ball-carriers	NNS ball - carrier
delivered	VBD deliver VBN deliver
145	CD 145
comforting	VBG comfort
Denver's	NP$ denver 's
Carmichael	NP carmichael
jarred	VBN jar
Grayson	NP grayson
speedy	JJ speedy
claimed	VBD claim
resulted	VBD result VBN result
quipping	VBG quip
book	NN book
dent	NN dent
statistics	NNS statistic
545-yard	JJ 545 - yard
spree	NN spree
3-game	JJ 3 - game
1,512	CD 1,512
1,065	CD 1,065
SWC	NN swc
280	CD 280
64	CD 64
tosses	NNS toss
tough	JJ tough
TCU	NN tcu
38-point	JJ 38 - point
bulge	NN bulge
loop	NN loop
Completing	VBG complete
174	CD 174
361	CD 361
leads	VBZ lead
per-game	JJ per - game
averages	NNS average
355	CD 355
149	CD 149
Baylor's	NP$ baylor 's
126	CD 126
idle	JJ idle
187.5	CD 187.5
189	CD 189
34.7	CD 34.7
Not	* not
unofficial	JJ unofficial
checks	NNS check NNS-HL check
liveliness	NN liveliness
baseballs	NNS baseball
leagues	NNS league
ordered	VBN order VBD order
tests	NNS test
Nischwitz	NP nischwitz
pinpoint	NN pinpoint
Bears	NNS-TL bear
Indianapolis	NP indianapolis
5-3	CD 5 - 3
husky	JJ husky
6-3	CD 6 - 3
205-pound	JJ 205 - pound
lefthander	NN lefthander
command	NN command
on-the-scene	JJ on - the - scene
949	CD 949
countless	JJ countless
viewers	NNS viewer
Nischwitz'	NP$ nischwitz '
Grizzlies'	NNS$-TL grizzly '
Louisville	NP louisville
pack	NN pack
walked	VBD walk
Charley	NP charley
Hinton	NP hinton
27	CD 27
innings	NNS innings
unusual	JJ unusual
characteristic	NN characteristic
lagged	VBD lag VBN lag
McAuliffe	NP mcauliffe
cracked	VBD crack
Lefty	NN-TL lefty
Don	NP don
Rudolph	NP rudolph
Bear's	NN$-TL bear 's
Paschal	NP paschal
gruonded	VBD gruonde
Jay	NP jay
Cooke	NP cooke
McDaniel	NP mcdaniel
Alusik	NP alusik
Porter	NP porter
bases	NNS basis
Wert's	NP$ wert be
smash	NN smash
putout	NN putout
leftfield	NN leftfield
rightfield	NN rightfield
Phil	NP phil
Shartzer's	NP$ shartzer 's
3-hitter	NN 3 - hitter
Indians	NPS indian
bunched	VBD bunch
Chuck	NP chuck
tripled	VBD triple VBN triple
Cliff	NP cliff NN-TL cliff
Dan	NP dan
Pavletich	NP pavletich
Gaines'	NP$ gaines '
infield	NN infield
roller	NN roller
accounted	VBD account
Alusik's	NP$ alusik 's
outfield	NN outfield
Wert	NP wert
Gaines	NP gaines
hammered	VBD hammer
45-degree	JJ 45 - degree
clicked	VBN click
1:48	CD 1:48
Chico	NP chico
Ruiz	NP ruiz
spectacular	JJ spectacular
grounder	NN grounder
showed	VBD show
arm	NN arm
Bingles	NNS-HL bingle
bobbles	NNS-HL bobble
Tribe's	NN$-TL tribe 's
season's	NN$ season 's
obvious	JJ obvious
refocusing	NN refocus
lights	NNS light
flooded	VBN flood
dark	JJ dark
Dobbs	NP dobbs
organ	NN organ
exotic	JJ exotic
dancer	NN dancer
Patti	NP patti
Waggin	NP waggin
Wyman	NP wyman
Tsitouris	NP tsitouris
o'clock	RB o'clock
Donnelly	NP donnelly
Kenny	NP kenny
Lane	NP lane NN-TL lane
Muskegon	NP muskegon
Mich.	NP mich. NP-HL mich.
world's	NN$ world 's
ranked	VBN rank
lightweight	NN lightweight
Rip	NP rip
Randall	NP randall
Paul-Minneapolis	NP-HL paul - minneapolis
Gardner's	NP$ gardner 's
eluded	VBD elude
diving	VBG dive
Minnie	NP minnie
Minoso	NP minoso
Lemon	NP lemon
Minnesota	NP-TL minnesota NP minnesota
Twins	NNS-TL twin
6-5	CD 6 - 5
liner	NN liner
5777	CD 5777
fans	NNS fan
batted	VBN bat VBD bat
Turk	NP turk
Lown	NP lown
tagged	VBN tagged
Ray	NP ray
Moore	NP moore
Reno	NP reno
Bertoia	NP bertoia
chopper	NN chopper
Lenny	NP lenny
Green's	NP$ green 's
5-4	CD 5 - 4
pop	NN pop VB pop
fly	NN fly VB fly
Roy	NP roy
Sievers	NP sievers
Camilo	NP camilo
Carreon	NP carreon
sacrifice	NN sacrifice
Landis'	NP$ landis '
380-foot	JJ 380 - foot
1-0	CD 1 - 0
Harmon	NP harmon
Killebrew	NP killebrew
bottom	NN bottom
walking	VBG walk
Allison	NP allison
aboard	RB aboard IN aboard
Smith's	NP$ smith 's
340-blast	NN 340 - blast
Carreon's	NP$ carreon 's
Allison's	NP$ allison 's
run-scoring	JJ run - scoring
2-baser	NN 2 - baser
solid	JJ solid
Ogden	NP-HL ogden NP ogden NP-TL ogden
Utah	NP-HL utah NP utah
Outfielder	NN-TL outfielder
Jensen	NP jensen
baseball	NN baseball
newsman	NN newsman
reflexes	NNS reflex
25th	OD 25th
sudden	JJ sudden
walkout	NN walkout
46	CD 46
at-bats	NNS at - bat
train	NN train VB train
anybody	PN anybody
newsmen	NNS newsman
trip	NN trip
Nev.	NP nev.
Olympic	JJ-TL olympic
Diving	NN-TL diving
Champion	NN-TL champion
Zoe	NP zoe
Ann	NP ann
Olsen	NP olsen
awaited	VBD await
heading	VBG head
speculating	VBG speculate
hurting	VBG hurt
Boston's	NP$ boston 's
chances	NNS chance
Pacific	NP-TL pacific JJ-TL pacific
Railroad	NN-TL railroad
streamliner	NN streamliner
Sports	NNS-TL sport
Writer	NN-TL writer
Ensign	NP ensign
Ritchie	NP ritchie
Standard	JJ-TL standard
Examiner	NN-TL examiner
compartment	NN compartment
conductor	NN conductor
You'll	PPSS+MD you 'll
mad	JJ mad
magazine	NN magazine
cold	JJ cold
warmed	VBD warm VBN warm
Liston	NP liston
double-crosser	NN double - crosser
anything	PN anything
keyhole	NN keyhole
writer	NN writer
Traveler	NN-TL traveler
quoted	VBD quote VBN quote
anymore	RB anymore
Suddenly	RB suddenly
grip	NN grip
masses	NNS masse
pops	VBZ pop
heroics	NNS heroic
tongues	NNS tongue
wagging	VBG wag
40-year-old	JJ 40 - year - old
Spahn	NP spahn
no-hit	NN no - hit
masterpiece	NN masterpiece
Giants	NNS-TL giant
Giants'	NNS$-TL giants '
Willie	NP willie
Mays	NP mays
retaliating	VBG retaliate
record-tying	JJ record - tying
4-homer	JJ 4 - homer
remarkable	JJ remarkable
feats	NNS feat
embossed	VBD embossed
rightfully	RB rightfully
pastime	NN pastime
cherished	VBN cherish
achievements	NNS achievement
elderly	JJ elderly
Spahn's	NP$ spahn 's
hitless	JJ hitless
hearts	NNS heart
stimulant	NN stimulant
guys	NNS guy
2-score-year	JJ 2 - score - year
milestone	NN milestone
rookies	NNS rookie
sighed	VBD sigh
Wish	VB wish
top-grade	NN top - grade
leaguer	NN leaguer
waved	VBD wave
laurels	NNS laurel
surely	RB surely
belonging	VBG belong
all-time	JJ all - time
lefthanders	NNS lefthander
Carl	NP carl
Hubbell	NP hubbell
Herb	NP herb
Pennock	NP pennock
Nehf	NP nehf
Vernon	NP vernon
Gomez	NP gomez
et	FW-CC et
al	FW-NNS al
superior	JJ superior
pitcher	NN pitcher
gentlemanly	JJ gentlemanly
player's	NN$ player 's
player	NN player
beardown	JJ beardown
meaningless	JJ meaningless
1951	CD 1951
18,792	CD 18,792
Spahnie	NP spahnie
Enos	NP enos
Slaughter	NP slaughter NP-TL slaughter
guy	NN guy
clubhouse	NN clubhouse
reaches	VBZ reach
sluggers	NNS slugger
walloped	VBD wallop
span	NN span
Incidentally	RB incidentally
Lowe	NP lowe
Gil	NP gil
Hodges	NP hodges
trick	NN trick
Brooklyn's	NP$ brooklyn 's
Ebbetts	NP-TL ebbett
Delahanty	NP delahanty
Klein	NP klein
Phillies	NPS phillie
Braves'	NNS$-TL braves '
Adcock	NP adcock
Lou	NP lou
Gehrig	NP gehrig
Pat	NP pat
Seerey	NP seerey
Rocky	NP rocky
Colavito	NP colavito
Willie's	NP$ willie 's
revived	VBD revive
argument	NN argument
merits	NNS merit
Mickey	NP mickey
Mantle	NP mantle
boils	VBZ boil
fan	NN fan
anti	IN anti
pro-Yankee	JJ pro - yankee
ace	NN ace
seasons	NNS season
30-30	CD 30 - 30
lifetime	NN lifetime
Mickey's	NP$ mickey 's
anemic	JJ anemic
windy	JJ windy
Candlestick	NN-TL candlestick
suddenly	RB suddenly
Milwaukee's	NP$ milwaukee 's
park	NN park
forever	RB forever
mystery	NN mystery
hitting	VBG hit VBG-HL hit
distressing	JJ distressing
slump	NN slump
Denver-area	JJ denver - area
TV	NN tv
privileged	JJ privileged
Mays'	NP$ mays '
arrangement	NN arrangement
Howsam	NP howsam
blacked	VBN black
blackout	NN blackout
televised	VBN televise
rulers	NNS ruler
Living	VBG-TL live
Room	NN-TL room
Athletic	JJ-TL athletic
helpless	JJ helpless
CBS	NN cbs
network	NN network
abide	VB abide
NBC	NN nbc
afternoons	NNS afternoon
arise	VB arise
irritable	JJ irritable
harm	NN harm
purposely	RB purposely
dissatisfaction	NN dissatisfaction
Howsam's	NP$ howsam 's
video	NN video
terminated	VBN terminate
Cincinnati	NP-HL cincinnati NP cincinnati NP-TL cincinnati
powerful	JJ powerful
19th	OD 19th
5-game	JJ 5 - game
romp	NN romp
outclassed	VBN outclass
crushing	VBG crush
Reds	NNS-TL red
humiliating	JJ humiliating
13-5	CD 13 - 5
barrage	NN barrage
loosely	RB loosely
finale	NN finale
Yogi	NP yogi
Berra	NP berra
injuries	NNS injury
champs	NNS champ
mounted	VBD mount
15-hit	JJ 15 - hit
Johnny	NP johnny
Blanchard	NP blanchard
Mantle's	NP$ mantle 's
replacement	NN replacement
2-run	JJ 2 - run
routed	VBD route
loser	NN loser
Joey	NP joey
5-run	JJ 5 - run
Hector	NP hector
Lopez	NP lopez
subbing	VBG sub
smashed	VBD smash
3-run	JJ 3 - run
Yanks	NPS yanks
32,589	CD 32,589
applaud	VB applaud
bleachers	NNS bleacher
400	CD 400
Momentarily	RB momentarily
trailing	VBG trail
fizzled	VBD fizzle
Edwards	NP edwards
fouled	VBD fouled
Wally	NP wally
Post	NP post NN-TL post
slashed	VBD slash
Daley	NP daley
11-5	CD 11 - 5
Series	NN-TL series
Bucky	NP bucky
boy-manager	NN boy - manager
1924	CD 1924
Eddie	NP eddie
Dyer	NP dyer
Cardinals	NNS-TL cardinal
accomplished	VBN accomplish VBD accomplish
feat	NN feat
23	CD-HL 23 CD 23 CD-TL 23
Skorich	NP skorich
Eagles	NNS-TL eagle
elevated	VBN elevated
three-year	JJ three - year
$20,000	NNS $ 20,000
$25,000	NNS $ 25,000
Buck	NP buck
Shaw	NP shaw
retain	VB retain
Shaw's	NP$ shaw 's
Charlie	NP charlie
Gauer	NP gauer
ends	NNS end
Choice	NN-HL choice
selection	NN selection
logical	JJ logical
Van	NP van
Brocklin	NP brocklin
permission	NN permission
Vikings	NPS viking
newest	JJT new
entry	NN entry
refused	VBN refuse VBD refuse
reconsider	VB reconsider
depended	VBD depend
Brocklin's	NP$ brocklin 's
aerials	NNS aerial
advocate	NN advocate
balanced	VBN balanced
lineman	NN lineman
Jock	NP jock
Sutherland	NP sutherland
Pittsburgh	NP pittsburgh NP-TL pittsburgh
Steelers	NPS steeler
quit	VB quit
Catholic	JJ-TL catholic JJ catholic
1949	CD 1949
Rensselaer	NP rensselaer
Polytechnic	JJ-TL polytechnic
Troy	NP troy
rejoining	VBG rejoin
Packers	NPS packer
auspiciously	RB auspiciously
ceremony	NN ceremony
Richardson	NP richardson
Dilworth	NP dilworth
championship	NN championship
engrossed	VBN engross
silver	NN silver JJ silver
cufflinks	NNS cufflink
shaped	VBN shape
award	NN award VB award
Shea	NP shea
awards	NNS award
night's	NN$ night 's
thirty-eighth	OD thirty - eighth
Chapter	NN-TL chapter
Baseball	NN-TL baseball
Writers'	NNS$-TL writer '
Waldorf-Astoria	NP-TL waldorf - astoria
Wagner's	NP$ wagner 's
dais	NN dai
Graham	NP graham
Journal-American	NP journal - american
sports	NNS sport
columnist	NN columnist
Mazeroski	NP mazeroski
Pirates	NNS-TL pirate
Ben	NP-TL ben NP ben
Epstein	NP-TL epstein
Good	JJ-TL good
Guy	NN-TL guy NP guy
Award	NN-TL award
Babe	NP-TL babe NP babe
Ruth	NP-TL ruth NP ruth
outstanding	JJ outstanding
meritorious	JJ meritorious
Slocum	NP-TL slocum
Sid	NP-TL sid
Mercer	NP-TL mercer
chapter's	NN$ chapter 's
Show	NN-HL show
follows	VBZ-HL follow VBZ follow
1,400	CD 1,400
writers	NNS writer
lampoon	VB lampoon
personalities	NNS personality
skit	NN skit
dance	NN dance
song	NN song
53-year-old	JJ 53 - year - old
prominent	JJ prominent
background	NN background
imminent	JJ imminent
Named	VBN name
Farley	NP farley
Bernard	NP bernard
Gimbel	NP gimbel NP-TL gimbel
Blume	NP blume
relentlessly	RB relentlessly
departure	NN departure
Dodgers	NPS dodger
California	NP california NP-TL california
barriers	NNS barrier
disappointments	NNS disappointment
convince	VB convince
Branch	NP branch
Rickey's	NP$ rickey 's
formation	NN formation
franchise	NN franchise
majors	NNS major
Flushing	NP-HL flush NP-TL flush
stadium	NN-HL stadium NN stadium
Shipman	NP shipman
Payson	NP payson
big-league	NN big - league
Meadow	NN-TL meadow
lease	NN lease
Ford	NP ford NP-TL ford
Frick	NP frick
Shea's	NP$ shea 's
prominently	RB prominently
Nori	NP nori
Sands	NNS-TL sand
Point	NN-TL point
I.	NP i.
Kathy	NP kathy
Patricia	NP patricia
switching	VBG switch
Georgetown	NP-TL georgetown
Later	RBR later
owned	VBD own
Long	JJ-TL long
Ted	NP ted
Collins'	NP$ collins '
Roger	NP roger
Maris	NP maris
outfielder	NN outfielder
winner	NN winner
most-valuable-player	NN most - valuable - player
Hamey	NP hamey
Arnold	NP arnold
Palmer	NP palmer
Snead	NP snead
Metropolitan	JJ-TL metropolitan
Golf	NN-TL golf
Writers	NNS-TL writer
golf's	NN$ golf 's
money-winner	NN money - winner
saluted	VBN salute
Cup	NN-TL cup
matches	NNS match
Dublin	NP dublin
Deane	NP deane
Beman	NP beman
Amateur	NN-TL amateur
metropolitan	JJ metropolitan
Gardner	NP gardner
amateur	NN amateur
title-holder	NN title - holder
writers'	NNS$ writer '
Gold	JJ-TL gold NN-TL gold
Tee	NN-TL tee
sponsorship	NN sponsorship
charity	NN charity
tournaments	NNS tournament
Horton	NP horton
Professional	JJ-TL professional
Golfers	NNS-TL golfer
Hogan	NP-TL hogan NP hogan
Trophy	NN-TL trophy
comeback	NN comeback
Stuart	NP stuart
Symington	NP symington
Missouri	NP missouri NP-TL missouri
Golf's	NN$-HL golf 's
golden	JJ-HL golden JJ golden
blazing	VBG blaze
twelve	CD twelve
Masters	NNS-TL master
Open	NN-TL open
$80,738	NNS $ 80,738
prize	NN prize
heralded	VBN herald
Sportsman	NN-TL sportsman
Year	NN-TL year
Illustrated	VBN-TL illustrate
Rochester	NP rochester
Athlete	NN-TL athlete
diamond-studded	JJ diamond - studded
Hickok	NP-TL hickok
Belt	NN-TL belt
achieved	VBD achieve
endeared	VBD endear
duffer	NN duffer
flubbed	VBD flub
monstrous	JJ monstrous
par-5	NN par-5
human	NN human
brooding	VBG brooding
incompetents	NNS incompetent
meditating	VBG meditate
abandonment	NN abandonment
sport	NN sport
frustrations	NNS frustration
despair	NN despair
paragon	NN paragon
perfection	NN perfection
commit	VB commit
sacrilege	NN sacrilege
self-sacrifice	NN self - sacrifice
nor	CC nor
yen	NN yen
downtrodden	JJ downtrodden
motivated	VBD motivated
victimized	VBN victimize
athletics	NN athletic
respects	VBZ respect
aggravates	VBZ aggravate
golfer	NN golfer
shooting	VBG shoot NN shoot
below	IN below
par	NN par
delivering	VBG deliver
crusher	NN crusher
boomed	VBD boom
280-yard	NN 280 - yard
pixies	NNS pixie
zombies	NNS zombie
banshees	NNS banshee
wailed	VBD wail
margin	NN-HL margin NN margin
narrow	JJ narrow
fairway	NN fairway
508-yard	JJ 508 - yard
majestic	JJ majestic
arc	NN arc
out-of-bounds	JJ out - of - bound
slice	NN slice
sliced	VBD slice
bounds	NNS bound
hooked	VBD hook
over-corrected	VBD over - correct
ruefully	RB ruefully
wayward	JJ wayward
shots	NNS shot
strokes	NNS stroke
wound	VBD wound
dozen	NN dozen
nice	JJ nice
perturbed	VBN perturb
duffers	NNS duffer
easily	RB easily
heartening	JJ hearten
fell	VBD fall
evil	JJ evil
heyday	NN heyday
idol	NN idol
hackers	NNS hacker
Ainsley	NP ainsley
19	CD 19 CD-HL 19 CD-TL 19
secondary	JJ secondary
Chisholm	NP chisholm NP-TL chisholm
drank	VBD drank
lunch	NN lunch
rock-strewn	JJ rock - strew
gully	NN gully
Stickler	NN-HL stickler
excavation	NN excavation
Thirteen	CD thirteen
Nae	RB nae
ye	PPSS ye
countin'	VBG countin '
echoes	NNS echo
Palmer's	NP$ palmer 's
honestly	RB honestly
Nor	CC nor
loophole	NN loophole
knows	VBZ know
code	NN code
thoroughly	RB thoroughly
handy	JJ handy
brook	NN brook
flowed	VBD flow
floated	VBD float
downstream	RB downstream
picked	VBD pick
potato	NN potato
playable	JJ playable
lie	NN lie
Dey	NP dey
naturally	RB naturally
alongside	IN alongside
spot	NN spot
confessed	VBD confess
grin	NN grin
happened	VBD happen
nicer	JJR nicer
intensity	NN intensity
inherent	JJ inherent
humor	NN humor
relieves	VBZ relieve
strain	NN strain
nerves	NNS nerve
jangling	VBG jangle
banjo	NN banjo
strings	NNS string NNS-HL string
Yet	RB yet
fiercest	JJT fierce
competitors	NNS competitor
bull	NN bull
head-on	RB head - on
twelfth	OD twelfth
155-yarder	NN 155 - yarder
Arnold's	NP$ arnold 's
tee	NN tee
burrowed	VBD burrow
bunker	NN bunker
guarding	VBG guard
embankment	NN embankment
soft	JJ soft
spongy	JJ spongy
rains	NNS rain
thereby	RB thereby
bringing	VBG bring
Ruling	VBG-HL rule
lies	VBZ lie
provisional	JJ provisional
embedded	VBN embed
golfing	VBG golfing
fathers	NNS father
stroke	NN stroke
tournament	NN tournament
god-like	JJ god - like
creature	NN creature
supply	VB supply
Minneapolis	NP minneapolis
fourteen	CD fourteen
Warwick	NP-TL warwick NP warwick
football's	NN$ football 's
hall	NN hall
fame	NN fame
players'	NNS$ player '
amendments	NNS amendment
fourteen-team	JJ fourteen - team
home-and-home	JJ home - and - home
teams	NNS team
lengthening	VBG lengthen
thirteen	CD thirteen
Rozelle	NP rozelle
Nine	CD nine
league's	NN$ league 's
therefore	RB therefore
early-season	NN early - season
dates	NNS date
heed	VB heed
Mauch	NP mauch
misled	VBN mislead
Pirates'	NNS$-TL pirate '
slower	JJR slow
outclass	VB outclass
Vinegar	NN-TL vinegar
Bend	NN-TL bend
Mizell	NP mizell
Shantz	NP shantz
Tonight	NR tonight
breaking	VBG break
baseball's	NN$ baseball 's
9-6	CD 9 - 6
Redbirds	NPS redbird
7-9	CD 7 - 9
Change	NN-HL change
Solly	NP solly
Hemus	NP hemus
switch	NN switch
Gibson	NP gibson
Ernie	NP ernie
Broglio	NP broglio
Broglio's	NP$ broglio 's
4-0	CD 4 - 0
won-lost	JJ win - lose
earned-run	NN earn - run
Redbirds'	NPS$ redbirds '
disheartening	VBG dishearten
11-7	CD 11 - 7
collapse	NN collapse
eager	JJ eager
assignment	NN assignment
Thursday's	NR$ thursday 's
Larry	NP larry
Cubs	NPS cub
Harvey	NP harvey NP-HL harvey
Haddix	NP haddix
flu	NN flu
Cardinal	NN-TL cardinal
Boyer	NP boyer
Busch	NP-TL busch
suffering	VBG suffer
stiff	JJ stiff
neck	NN neck
13-8	CD 13 - 8
1-3	CD 1 - 3
Pirate	NN-TL pirate
Danny	NP danny
Murtaugh	NP murtaugh
hadn't	HVD* have n't
Vern	NP-TL vern
Wednesday's	NR$ wednesday 's
Nieman	NP-HL nieman NP nieman
lineup	NN-HL lineup NN lineup
lengthy	JJ lengthy
Stan	NP stan
Musial	NP musial
anniversary	NN anniversary
five-home	NN five - home
sore	JJ sore
Taussig	NP taussig
Lindy	NP lindy
groove	NN groove
Bucks	NP-HL buck
Bucs'	NPS$ bucs '
bats	NNS bat
quieted	VBD quiet
recession	NN recession
imposing	VBG impose
Smoky	NP smoky
Burgess	NP burgess
Gino	NP gino
Cimoli	NP cimoli
Virdon	NP virdon
Clemente	NP clemente
Groat	NP groat
Hoak	NP hoak
Skinner	NP skinner
Hal	NP hal
dragging	VBG drag
Perhaps	RB perhaps
unhappiest	JJT unhappy
sit	VB sit
Friend	NP friend
beaten	VBN beat
Man	NN-TL man
isn't	BEZ* be n't
blasting	VBG blast
plunkers	NNS plunker
Bucs	NPS-HL bucs
jumped	VBD jump
11-3	CD 11 - 3
7-6	CD 7 - 6
ending	VBG end
two-season	JJ two - season
fall-off	NN fall - off
3-10	CD 3 - 10
4-13	CD 4 - 13
'49	CD ' 49
so-so	JJ so - so
5-5	CD 5 - 5
12-17	CD 12 - 17
finishing	VBG finish
96	CD 96
'52	CD ' 52
Cards	NNS-TL card
6-7	CD 6 - 7
88	CD 88
triumphs	NNS triumph
club's	NN$ club 's
tumbled	VBD tumble
11-18	CD 11 - 18
recovering	VBG recover
runaway	NN runaway
'55	CD ' 55
Dodger	NP dodger
21-2	CD 21 - 2
nine-game	JJ nine - game
overcame	VBD overcome
worst	JJT bad
comparable	JJ comparable
York's	NP$-TL york 's
'51	CD ' 51
battling	VBG battle
Billikens	NPS billikens
Speakers	NNS speaker
Tipoff	NP-TL tipoff
dealt	VBD deal
lavish	JJ lavish
words	NNS word
Benington	NP benington
Mankowski	NP mankowski
Hartweger	NP hartweger
Kieffer	NP kieffer
Bevo	NP bevo
Nordmann	NP nordmann
6-foot-10	JJ 6 - foot-10
conversation	NN conversation
respect	NN respect
other's	AP$ other 's
pepping	VBG pep
supposed	VBN suppose
We'd	PPSS+MD we 'd
halftime	NN halftime
Don't	DO* do n't
'em	PPO 'em
trio	NN trio
shared	VBD share
most-valuable	JJ most - valuable
honors	NNS honor
Broeg	NP broeg
editor	NN editor
Post-Dispatch	NP post - dispatch
commended	VBN commend
clutch	NN clutch
all-round	JJ all - round
excellent	JJ excellent
ball-hawking	JJ ball - hawking
Bradley	NP bradley
U.'s	NN$-TL u. 's
recalled	VBD recall
doubted	VBD doubt
faults	NNS fault
admired	VBD admire
Gordon's	NP$ gordon 's
husband	NN husband
bowl	NN bowl
thank	VB thank
coach's	NN$ coach 's
talking	VBG talk
letting	VBG let
Burnes	NP burnes
Globe-Democrat	NP globe - democrat
congratulated	VBN congratulate
shape	NN shape
healed	VBD heal
Louis's	NP$ louis 's
Bill's	NP$ bill 's
inscription	NN inscription
Outstanding	JJ-TL outstanding
Contribution	NN-TL contribution
Billiken	NP-TL billiken NP billiken
Basketball	NN-TL basketball
1960-61	CD 1960 - 61
lettermen	NNS letterman
compiled	VBD compile
21-9	CD 21 - 9
runner-up	NN runner - up
Invitation	NN-TL invitation
Tournament	NN-TL tournament
Hambric	NP hambric
Donnell	NP donnell
Reid	NP reid
Luechtefeld	NP luechtefeld
Latinovich	NP latinovich
Notre	NP notre
